"","X","Regio.s","x.1.000","X.","X1.000.euro...4","X1.000.euro...5","X1.000.euro...6","X1.000.euro...7","jaar"
"1",1,"Groningen (PV)",2829,100,233,213,322,273,2015
"2",2,"Fryslân (PV)",2846,100,251,230,357,312,2015
"3",3,"Drenthe (PV)",2115,100,263,240,377,332,2015
"4",4,"Overijssel (PV)",4834,100,258,236,376,329,2015
"5",5,"Flevoland (PV)",1639,100,266,244,392,347,2015
"6",6,"Gelderland (PV)",8802,100,267,243,385,334,2015
"7",7,"Utrecht (PV)",5758,100,290,259,416,349,2015
"8",8,"Noord-Holland (PV)",12965,100,285,247,398,319,2015
"9",9,"Zuid-Holland (PV)",16165,100,273,241,386,317,2015
"10",10,"Zeeland (PV)",1701,100,272,247,385,334,2015
"11",11,"Noord-Brabant (PV)",10939,100,275,249,396,340,2015
"12",12,"Limburg (PV)",5093,100,260,236,366,314,2015
"14",1,"Groningen (PV)",2837,100,242,220,333,282,2016
"15",2,"Fryslân (PV)",2854,100,261,239,372,322,2016
"16",3,"Drenthe (PV)",2122,100,274,249,393,342,2016
"17",4,"Overijssel (PV)",4866,100,269,246,392,338,2016
"18",5,"Flevoland (PV)",1654,100,277,255,408,359,2016
"19",6,"Gelderland (PV)",8868,100,278,253,402,344,2016
"20",7,"Utrecht (PV)",5809,100,302,269,434,359,2016
"21",8,"Noord-Holland (PV)",13093,100,297,257,414,329,2016
"22",9,"Zuid-Holland (PV)",16292,100,283,250,400,326,2016
"23",10,"Zeeland (PV)",1707,100,280,255,398,342,2016
"24",11,"Noord-Brabant (PV)",11019,100,286,259,413,350,2016
"25",12,"Limburg (PV)",5111,100,269,245,380,322,2016
"27",1,"Groningen (PV)",2845,100,249,226,343,287,2017
"28",2,"Fryslân (PV)",2874,100,269,245,383,327,2017
"29",3,"Drenthe (PV)",2143,100,282,255,404,348,2017
"30",4,"Overijssel (PV)",4912,100,277,252,405,345,2017
"31",5,"Flevoland (PV)",1675,100,284,261,419,367,2017
"32",6,"Gelderland (PV)",8968,100,288,259,416,351,2017
"33",7,"Utrecht (PV)",5866,100,312,276,449,368,2017
"34",8,"Noord-Holland (PV)",13219,100,307,263,430,337,2017
"35",9,"Zuid-Holland (PV)",16445,100,293,256,415,334,2017
"36",10,"Zeeland (PV)",1717,100,288,260,409,347,2017
"37",11,"Noord-Brabant (PV)",11135,100,298,265,428,357,2017
"38",12,"Limburg (PV)",5149,100,277,250,390,328,2017
"40",1,"Groningen (PV)",2855,100,251,230,350,294,2018
"41",2,"Fryslân (PV)",2887,100,273,249,394,335,2018
"42",3,"Drenthe (PV)",2157,100,284,259,414,356,2018
"43",4,"Overijssel (PV)",4950,100,280,256,413,354,2018
"44",5,"Flevoland (PV)",1696,100,289,267,432,380,2018
"45",6,"Gelderland (PV)",9052,100,290,263,425,360,2018
"46",7,"Utrecht (PV)",5920,100,315,281,460,379,2018
"47",8,"Noord-Holland (PV)",13326,100,312,268,443,347,2018
"48",9,"Zuid-Holland (PV)",16617,100,295,261,423,343,2018
"49",10,"Zeeland (PV)",1727,100,290,264,416,355,2018
"50",11,"Noord-Brabant (PV)",11248,100,299,269,437,366,2018
"51",12,"Limburg (PV)",5170,100,279,254,398,335,2018
"53",1,"Groningen (PV)",2867,100,265,241,370,307,2019
"54",2,"Fryslân (PV)",2905,100,289,261,417,350,2019
"55",3,"Drenthe (PV)",2170,100,300,272,436,372,2019
"56",4,"Overijssel (PV)",4995,100,300,269,442,370,2019
